id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL,Coord_X,Coord_Y,SCORE_POTENTIEL,CLASSE_POTENTIEL,PROJET_PLUS_PROCHE,DISTANCE_PROJET_KM,COMMENTAIRE_SCORE,CIBLE_PLUS_PROCHE,TYPE_CIBLE,NATURE_CIBLE,MOTS_CLES_CIBLE,DISTANCE_CIBLE_KM,CLASSE_DISTANCE_CIBLE
0,2398,Duval-Lithium,1519,Duval-Lithium,1,P,Indice travaillé,17,714262,5362230,32D08,1955,Li,Mo,,,,,,,,,,,Ta,Cu,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,R1,,I1G,,I1C,,V4,,,,,,,,,,GR,SO,FP,QZ,MV,CP,TN,MO,,,,,,,,,,,,,,,,,,LR,Lenticulaire régulier,I,Irrégulière,IN,Indéterminé,T,Dans fracture,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=1519,GMLI_P,-78.106405,48.376823,13,Potentiel fort,Authier,7.56,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Indice travaillé | Substances associées : Ta | Très proche d’un projet lithium connu,Indice Kekek (15-AM-200B),Cartographique,Échan. roche,pegmatite,163.94,Éloigné des cibles
0,2387,Bouvier,1508,Bouvier,1,P,Indice travaillé,17,714559,5370630,32D08,1947,Li,Ta,,,,,,,,,,,Be,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M8,,I1M,,,,,,,,,,,,SO,CI,MV,FP,GR,TL,QZ,PR,SP,,,,,,,,,,,,,,,,,TI,Tabulaire irrégulier,D,Disséminée,MJ,Majeur,T,Dans fracture,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=1508,GMLI_P,-78.098104,48.452196,13,Potentiel fort,Authier,12.12,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Indice travaillé | Substances associées : Ta, Be | Très proche d’un projet lithium connu",Indice Kekek (15-AM-200B),Cartographique,Échan. roche,pegmatite,164.23,Éloigné des cibles
0,12682,MR-4,66940,MR-4,1,P,Indice travaillé,18,682196,5940322,33H09,2023,Li,,,,,,,,,,,,Ta,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,V3,,,,,,,,,,,,,,SO,FP,QZ,MV,LP,,,,,,,,,,,,,,,,,,,,,T,Tabulaire,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=66940,GMLI_P,-72.247794,53.580051,12,Potentiel fort,Adina,33.93,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Indice travaillé | Substances associées : Ta | Proche d’un projet lithium connu,(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",34.95,Proche d'une cible
0,12683,MR-6,66941,MR-6,1,P,Indice travaillé,18,683167,5941364,33H09,2023,Li,,,,,,,,,,,,Ta,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,V3B,,M16,,,,,,,,,,,,SO,FP,QZ,TL,MV,GR,,,,,,,,,,,,,,,,,,,,TI,Tabulaire irrégulier,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=66941,GMLI_P,-72.232534,53.589068,12,Potentiel fort,Adina,35.27,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Indice travaillé | Substances associées : Ta | Proche d’un projet lithium connu,(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",36.3,Proche d'une cible
0,1150,Lithium Amérique du Nord,5444,Lithium Amérique du Nord,1,MA,Mine active,18,292127,5365828,32C05,1942,Li,,,,,,,,,,,,Be,Mo,Ta,Bi,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,I1C,,V,,,,,,,,,,,,BL,FL,HK,FP,QZ,MV,SO,LP,Bi,MO,TO,BS,,,,,,,,,,,,,,TI,Tabulaire irrégulier,D,Disséminée,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=5444,GMLI_MA,-77.809202,48.411291,12,Potentiel fort,Complexe Lithium Amérique du Nord,0.0,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Substances associées : Ta, Be | Très proche d’un projet lithium connu",Indice Kekek (15-AM-200B),Cartographique,Échan. roche,pegmatite,142.5,Éloigné des cibles
0,10646,Ridge (Adina),19427,Ridge (Adina),1,P,Indice travaillé,18,667601,5908518,33H08,2014,Li,,,,,,,,,,,,Be,Cs,Nb,Bi,Ga,Ta,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1A,,M16,,,,,,,,,,,,,,GR,TL,AP,SO,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,MJ,Majeur,L,Inscrit dans lithologie,N,,GMLI_P,-72.48495,53.299317,11,Potentiel fort,Adina,1.55,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Indice travaillé | Substances associées : Ta, Cs, Be, Nb | Très proche d’un projet lithium connu",(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",0.0,Très proche d'une cible
0,12661,Galinée,66919,Galinée,1,P,Indice travaillé,18,668536,5908378,33H08,2023,Li,,,,,,,,,,,,Be,Cs,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,,,,,,,,,,,,,SO,LP,HK,TL,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,M,Massive,MJ,Majeur,L,Inscrit dans lithologie,N,,GMLI_P,-72.471008,53.297763,11,Potentiel fort,Adina,0.81,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Indice travaillé | Substances associées : Cs, Be | Très proche d’un projet lithium connu",(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",0.94,Très proche d'une cible
0,12306,CV12,58818,CV12,1,P,Indice travaillé,18,561723,5929441,33G09,2019,Li,Ta,,,,,,,,,,,Be,Cs,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,,,,,,,,,,,,,TL,SR,LP,SO,MV,,,,,,,,,,,,,,,,,,,,,LI,Lenticulaire irrégulier,D,Disséminée,MJ,Majeur,L,Inscrit dans lithologie,N,,GMLI_P,-74.069254,53.510285,11,Potentiel fort,Shaakichiuwaanaan,8.73,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Indice travaillé | Substances associées : Ta, Cs, Be | Très proche d’un projet lithium connu",10-SB-6326,Cartographique,Sulfures,pegmatite,8.29,Très proche d'une cible
0,12694,Iceberg,66952,Iceberg,1,P,Indice travaillé,18,676860,5909880,33H08,2023,Li,Cs,,,,,,,,,,,Ga,Ta,Nb,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,I1D,,M16,,,,,,,,,,,,SO,,,,,,,,,,,,,,,,,,,,,,,,,T,Tabulaire,D,Disséminée,MJ,Majeur,L,Inscrit dans lithologie,N,,GMLI_P,-72.345408,53.308538,11,Potentiel fort,Adina,7.8,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Indice travaillé | Substances associées : Ta, Cs, Nb | Très proche d’un projet lithium connu",(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",9.33,Très proche d'une cible
0,12779,Dyke 1,67040,Dyke 1,1,P,Indice travaillé,18,683115,5906089,33H08,2023,Li,,,,,,,,,,,,Be,Ta,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M4,,,,,,,,,,,,,,AP,SO,MV,,,,,,,,,,,,,,,,,,,,,,,TI,Tabulaire irrégulier,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,N,,GMLI_P,-72.253825,53.272375,11,Potentiel fort,Adina,14.27,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Indice travaillé | Substances associées : Ta, Be | Très proche d’un projet lithium connu",(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",15.65,Très proche d'une cible
