FUS_UTM,ESTN,NORD,NOM_MINE,STAT_MINE,FEUILLET,PROMOTEUR,CODE_SUB1,CATG_SUB1,SUB_PRIN1,CODE_SUB2,CATG_SUB2,SUB_PRIN2,CODE_SUB3,CATG_SUB3,SUB_PRIN3,CODE_SUB4,CATG_SUB4,SUB_PRIN4,CODE_SUB5,CATG_SUB5,SUB_PRIN5,CODE_SUB6,CATG_SUB6,SUB_PRIN6,CODE_SUB7,CATG_SUB7,SUB_PRIN7,CODE_SUB8,CATG_SUB8,SUB_PRIN8,CODE_SUB9,CATG_SUB9,SUB_PRIN9,CODE_SUB10,CATG_SUB10,SUB_PRIN10,PLAN_NORD,CODE_SYMBL,TYPE_EXPLO,NOM_MINE_A,Coord_X,Coord_Y
19,587602,6141109,Full Moon,3,23O05,Century Global Commodities Corporation,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVFe,CO,,-67.61641,55.40839
17,647759,5346155,Horne 5,3,32D06,Ressources Falco ltée,Au,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,Zn,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,N,MVAu,S,,-79.009463,48.251371
18,500300,5095000,La Loutre,3,31J02,Métaux Lomiko,GP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVGP,CO,,-74.996125,46.008573
17,614267,5431273,Perron,3,32E03,Amex Exploration,Au,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,O,MVAu,SCO,,-79.436978,49.023752
17,670140,5543175,Fenelon,3,32L02,Wallbridge,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVAu,SCO,,-78.625033,50.016564
18,579000,5165000,Matawinie,2,31I12,Nouveau Monde Graphite inc.,GP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,DEGP,CO,,-73.967901,46.633906
18,530385,5056900,Miller,3,31G10,Canada Carbon Inc.,GP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVGP,CO,,-74.60994,45.664984
18,563085,5529301,Mont Sorcier,3,32G16,Métaux Voyager,Fe,ME Minéraux métalliques,O,TiO2,ME Minéraux métalliques,N,V2O5,MC Matériaux de construction,N,,,,,,,,,,,,,,,,,,,,,,O,MVFe,CO,,-74.121332,49.912759
20,441583,6134253,Crater Lake,3,13M05,Scandium Canada Ltée.,Sc2O3,ME Minéraux métalliques,O,Dy2O3,ME Minéraux métalliques,N,La2O3,ME Minéraux métalliques,N,Nd2O3,ME Minéraux métalliques,N,Pr2O3,ME Minéraux métalliques,N,Tb2O3,ME Minéraux métalliques,N,,,,,,,,,,,,,O,MVSc,CO,,-63.921292,55.351136
19,630597,5830191,Lac Carheil Graphite,3,23B11,Metals Australia Ltd,GP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVGP,CO,,-67.07141,52.606016
19,647380,6069160,Houston / fosse Malcolm,3,23J10,Labrador Iron Mines Holdings Limited,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVFe,CO,,-66.710177,54.748043
19,384731,5436912,Lac à l'Orignal,3,22E02,First Phosphate Corp.,P2O5,MI Minéraux industriels,O,Fe,ME Minéraux métalliques,N,TiO2,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MVAP,CO,,-70.578327,49.074272
18,288810,5515200,Complexe Caber,3,32F13,Nuvau Minerals Inc.,Cu,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Au,ME Minéraux métalliques,N,Zn,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,O,MVCu,S,,-77.931986,49.752148
19,326032,5402188,Bégin-Lamarche,3,22D11,First Phosphate Corp.,P2O5,MI Minéraux industriels,O,Fe,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAP,CO,,-71.366669,48.748389
18,570393,5930685,Shaakichiuwaanaan,3,33H12,Ressources PMET inc.,Li2O,ME Minéraux métalliques,O,Ga2O3,ME Minéraux métalliques,N,Ta2O5,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MVLi,SCO,,-73.938259,53.520375
18,669090,5908973,Adina,3,33H08,Li-FT Power Ltd.,Li2O,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVLi,CO,,-72.462387,53.30293
19,559000,5500000,Nathalie,3,22F09,Baie Comeau minéral,P2O5,MI Minéraux industriels,O,TiO2,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,O,MVAP,CO,,-68.182668,49.649658
18,310632,5381128,Swanson,3,32C12,LaFleur Minerals Inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,CO,,-77.56633,48.55463
17,692801,5345579,O'Brien,3,32D01,Ressources minières Radisson inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,S,,-78.403513,48.234096
