NUMR_CIBLE,ID_CIBLE,FUS,ESTN,NORD,TYPE,NATUR,DIAME,DESCR1,DESCR2,DESCR3,DESCR4,DESCR_ANG1,DESCR_ANG2,DESCR_ANG3,DESCR_ANG4,NOM_OBSER,NOM_PROJE,METH_EVAL,CODE_TYPOL,SPEC_MAX_U,SPEC_MOY_U,SPEC_U_TH,KEATI_AMPL,KEATI_COEF,NOTE_CENT1,NOTE_CENT2,VAL_CENTI,MESUR_MAX,VAL_RESID,VAL_NIVEL,CODE_SYMBL,DATE_PREM,NUMR_INTER,AN_DIFFU,NUMR_ECHN1,TYPE_ECHN1,ELEM_CHIM1,CENT_ECHN1,IND_ECHN1,TENR_ECHN1,UNIT_ECHN1,NUMR_ECHN2,TYPE_ECHN2,ELEM_CHIM2,CENT_ECHN2,IND_ECHN2,TENR_ECHN2,UNIT_ECHN2,NUMR_ECHN3,TYPE_ECHN3,ELEM_CHIM3,CENT_ECHN3,IND_ECHN3,TENR_ECHN3,UNIT_ECHN3,NUMR_ECHN4,TYPE_ECHN4,ELEM_CHIM4,CENT_ECHN4,IND_ECHN4,TENR_ECHN4,UNIT_ECHN4,NUMR_ECHN5,TYPE_ECHN5,ELEM_CHIM5,CENT_ECHN5,IND_ECHN5,TENR_ECHN5,UNIT_ECHN5,NUMR_SUBS1,MINR_SUBS1,AUTR_SUBS1,IND_SUBS1,TENR_SUBS1,UNIT_SUBS1,NUMR_SUBS2,MINR_SUBS2,AUTR_SUBS2,IND_SUBS2,TENR_SUBS2,UNIT_SUBS2,NUMR_SUBS3,MINR_SUBS3,AUTR_SUBS3,IND_SUBS3,TENR_SUBS3,UNIT_SUBS3,NUMR_SUBS4,MINR_SUBS4,AUTR_SUBS4,IND_SUBS4,TENR_SUBS4,UNIT_SUBS4,NUMR_SUBS5,MINR_SUBS5,AUTR_SUBS5,IND_SUBS5,TENR_SUBS5,UNIT_SUBS5,NUMR_RAPR1,NUMR_RAPR2,NUMR_RAPR3,Coord_X,Coord_Y,MOTS_CLES_TROUVES
243827,Convent,19,466834,5517891,Cartographique,Affleurement,Ponctuelle,Minéralisation uranifère (<3200 cps) associée à un dyke (15 cm/3m) de pegmatite blanchâtre.,,,,Uranium mineralization (<3200 cps) associated with a whitish pegmatite dyke (15 cm/3m).,,,,Abdelali Moukhsil,Cartographie - Région du lac au Brochet,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,243827,,0,,Uranium,0,O,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-69.46099,49.812546,pegmatite
243828,Riverin,19,442922,5492932,Cartographique,Affleurement,Ponctuelle,"Dyke de pegmatite rose (30 cm) à tourmaline : 2409 ppm Th, 56 ppm U, 7561 ppm La et 16192 ppm Ce.",,,,"Tourmaline-bearing pink pegmatite dyke (30 cm) 2409 ppm Th, 56 ppm U, 7561 ppm La and 16192 ppm Ce.",,,,Abdelali Moukhsil,Cartographie - Région du lac au Brochet,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,243828,,2008048881,Roches,Cérium,0,O,16192.4003906,ppm,2008048881,Roches,Lanthane,0,O,7561.8999023,ppm,2008048881,Roches,Thorium,0,O,2409.5,ppm,2008048881,Roches,Uranium,0,O,56.7999992,ppm,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-69.789681,49.586275,pegmatite
244110,12-PL-3225,18,604829,5906538,Cartographique,Sulfures,Ponctuelle,Zone rouillée visible sur 30 m de longueur avec 5 % PO finement disséminée dans amphibolite au contact d'une pegmatite.,,,,Rusted zone visible for 30 m with 5 % finely disseminated PO  in an amphibolite at the contact with a pegmatite.,,,,"Pénélope Burniaux, Hanafi Hammouche","Cartographie - Secteur du lac Carmoy, Baie-James",Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20121127,244110,,0,,Or,0,N,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2012-05,PRO 2012-06,,-73.427066,53.297666,pegmatite
244366,10-SB-6326,18,555255,5934647,Cartographique,Sulfures,Ponctuelle,Wacke minéralisé en PY-CP (3%) au contact d'une pegmatite contenant 7% CP et 4% MO. Minéralisation associée à linéament magnétique et zone de cisaillement régionale SW-NE.,,,,Mineralized wacke (3% PY-CP) in contact with a pegmatite containing 7% CP and 4% MO. Mineralization associated with a magnetic lineament and a regional SW-NE shear zone.,,,,Daniel BandyayeraPénélope Burniaux,"Cartographie - Secteur est du réservoirLa Grande-3, Baie-James",Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20101123,244366,,2010052264,Roches,Molybdène,0,O,5600,ppm,2010052264,Roches,Cuivre,0,O,5460,ppm,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,1,Sulfures,,O,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2010-05,PRO 2010-06,,-74.165856,53.557794,pegmatite
245018,Villion Nord,19,466269,5587060,Cartographique,Terres rares,Ponctuelle,"Dyke de pegmatite (1,5 m d'épaisseur) coupant des paragneiss à niveaux calco-silicatés. Teneur en TR totales de 5075,28 ppm (786 ppm Nd)",,,,Pegmatite dyke (1.5 m thick) cutting a paragneiss with  calc-silicate layers. Grades 5075.28 ppm TREE (786 ppm Nd).,,,,"Abdelali Moukhsil, Fabien Solgadi",Cartographie - Région septentrionale du réservoir Outardes 4,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20121127,245018,,2012054409,Roches,Cérium,0,O,2560,ppm,2012054409,Roches,Lanthane,0,O,1350,ppm,2012054409,Roches,Néodyme,0,O,786,ppm,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2012-05,PRO 2012-06,,-69.474959,50.43459,pegmatite
245019,Picard,19,473796,5611496,Cartographique,Terres rares,Ponctuelle,"Dyke de pegmatite rosâtre à BO-MG (6 m d'épaisseur) coupant une monzonite. Teneur en TR totales de 7838,69 ppm (1410 ppm Nd),1600 ppm Th et 6,9 ppm Ag",,,,"Pinkish BO-MG pegmatite dyke (6 m thick) in a monzonite.  Grades 7838.69 ppm TREE (1410 ppm Nd),1600 ppm Th and 6.9 ppm Ag",,,,"Abdelali Moukhsil, Fabien Solgadi",Cartographie - Région septentrionale du réservoir Outardes 4,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20121127,245019,,2012054411,Roches,Cérium,0,O,3810,ppm,2012054411,Roches,Thorium,0,O,1600,ppm,2012054411,Roches,Argent,0,O,6.9000001,ppm,2012054411,Roches,Lanthane,0,O,1990,ppm,2012054411,Roches,Néodyme,0,O,1410,ppm,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2012-05,PRO 2012-06,,-69.370694,50.654728,pegmatite
245081,Cast'Or,19,483258,5589422,Cartographique,Sulfures,Ponctuelle,"Niveaux de pyroxénite à OV dans norite. L'ensemble est injecté de pegmatite granitique. Teneur 0,8 g/t Au dans pyroxénite avec traces de PO-PY. Une réanalyse du même échantillon n'a cependant pas confirmé cette teneur.",,,,"Olivine pyroxenite layer in a norite. Both rocks are intruded by  granitic pegmatite. Grade of 0.8 g/t Au in pyroxenite containing  traces of PO-PY. However, a reanalysis of the same sample did  not confirm this assay.",,,,"Abdelali Moukhsil, Fabien Solgadi",Cartographie - Région septentrionale du réservoir Outardes 4,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20121127,245081,,2012054570,Roches,Or,0,O,764,ppb,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2012-05,PRO 2012-06,,-69.235849,50.456563,pegmatite
245507,Béryl,18,363904,5827159,Cartographique,Minéral,Ponctuelle,Zone de pegmatite contenant du béryl,,,,Pegmatite zone with beryl occurrences.,,,,Daniel Bandyayera,Cartographie - Région du réservoir Opinaca,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20071126,245507,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,2,Béryl,,N,0,,1,,Pierre gemmes,N,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2007-03,PRO 2007-04,,-77.008496,52.577425,pegmatite
245518,Françoise Est,19,526291,5631105,Cartographique,Terres rares,Ponctuelle,"Pegmatite rosâtre (1 m d'épaisseur) injectée dans un gneiss granitique hématitisé. Teneurs de 0,12 % La+Ce+Pr+Nd+Sm.",,,,Pinkish pegmatite (1 m thick) intruded in a hematized granitic gneiss. Grades 0.12 % La+Ce+Pr+Nd+Sm.,,,,"Abdelali Moukhsil, Fabien Solgadi",Cartographie - Région du barrage Daniel-Johnson,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20111122,245518,,2011052865,Roches,Cérium,0,O,565.2999878,ppm,2011052865,Roches,Lanthane,0,O,348.8999939,ppm,2011052865,Roches,Néodyme,0,O,195.5,ppm,2011052865,Roches,Praséodyme,0,O,57.7799988,ppm,2011052865,Roches,Samarium,0,O,25.4899998,ppm,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2011-06,PRO 2011-07,,-68.626676,50.831062,pegmatite
248229,MP-1016,19,669249,6448617,Cartographique,Sulfures,Ponctuelle,"Granite pegmatitique riche en QZ (2 m x 50 m) avec amas de MO. La pegmatite coupe des zones rouillées, sulfurées (1-2 % PO-PY) et cisaillées métriques à décamétriques dans paragneiss. Anomalies de sédiments de fond de lac en Mo et Ag à proximit",,,,Quartz-rich pegmatitic granite (2 m x 50 m) with MO clusters. The pegmatite cuts metric to decametric sheared rusted zones with sulphides (1-2 % PO-PY) in migmatized paragneiss. Mo and Ag anomalies in lake-bottom sediments nearby.,,,,"Isabelle Lafrance, Hanafi Hammouche",Cartographie - Région de Kuujjuaq,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20111122,248229,,0,,Molybdène,0,N,0,,0,,Argent,0,N,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2011-06,PRO 2011-07,,-66.124395,58.146389,pegmatite
